title,description,salary,type,company,category,country,applyLink,location,status
"Senior Frontend Developer","Build and maintain high-performance React applications. Work closely with the design team to deliver pixel-perfect UIs and collaborate with backend engineers on API integrations. 3+ years of experience required.","$4500/mo","full-time","NileTech Solutions","web-development","Egypt","https://careers.niletech.io/frontend-dev","Cairo","active"
"Digital Marketing Specialist","Drive growth through SEO paid campaigns and social media strategy. Manage ad budgets across Google and Meta platforms and report weekly on KPIs to the CMO. Arabic and English required.","$2800/mo","full-time","Gulf Brands Agency","digital-marketing","Saudi Arabia","https://gulfbrands.sa/jobs/marketing","Riyadh","active"
"Backend Engineer","Design and build scalable REST APIs and microservices. Own database architecture decisions using MongoDB and PostgreSQL and participate in code reviews. Node.js or Python required.","$5000/mo","remote","Mashreq Digital","web-development","United Arab Emirates","https://mashreq.digital/careers","Remote","active"
"UX/UI Designer","Create intuitive and visually stunning user experiences for mobile and web products. Proficiency in Figma required. Run user research sessions and produce high-fidelity prototypes.","$3200/mo","hybrid","Wamda Creative","user-experience-design","Jordan","https://wamda.jo/jobs/ux-designer","Amman","active"
"Data Analyst","Analyze large datasets to uncover business insights and build dashboards using Power BI and Python. Work directly with the product and operations teams. SQL knowledge required.","$3800/mo","full-time","Souq Analytics","business-analytics","Kuwait","https://souqanalytics.kw/apply","Kuwait City","active"
"Customer Support Agent","Handle incoming customer inquiries via chat and email. Resolve issues promptly and escalate complex cases to the appropriate department. Arabic and English fluency required.","$1200/mo","part-time","Aramex","human-resources","Lebanon","https://aramex.com/careers/support","Beirut","active"
"DevOps Engineer","Manage CI/CD pipelines cloud infrastructure on AWS and containerized workloads using Docker and Kubernetes. On-call rotation required once per month.","$5500/mo","full-time","CloudArab","computer-networking","Qatar","https://cloudarab.qa/jobs/devops","Doha","active"
"Financial Analyst Intern","Support the finance team with financial modeling variance analysis and monthly reporting. Excel and basic knowledge of accounting principles required. Great learning opportunity.","$600/mo","internship","Arab Investment Bank","financial-analysis","Bahrain","https://arabinvestbank.bh/internships","Manama","active"
"Content Writer Arabic","Write engaging Arabic-language content for blogs social media and email campaigns in the tech and lifestyle niches. SEO knowledge is a plus. Fully remote position.","$1800/mo","contract","Maktoob Media","writing","Morocco","https://maktoob.ma/jobs/content-writer","Casablanca","active"
"HR Manager","Lead recruitment onboarding and employee relations for a team of 80+. Implement HR policies manage payroll coordination and run quarterly performance reviews.","$4000/mo","full-time","Tamkeen Group","human-resources","Tunisia","https://tamkeengroup.tn/careers/hr-manager","Tunis","active"
"Cybersecurity Analyst","Monitor and protect company infrastructure against threats. Conduct vulnerability assessments and penetration testing. Experience with SIEM tools required. CISSP or CEH certification preferred.","$5200/mo","full-time","SecureGulf","cybersecurity","Saudi Arabia","https://securegulf.sa/careers/cyber","Riyadh","active"
"Graphic Designer","Create visual content for digital and print campaigns including social media posts banners and brand materials. Proficiency in Adobe Creative Suite required.","$2400/mo","hybrid","PixelHub","graphic-design","Egypt","https://pixelhub.eg/jobs/designer","Cairo","active"
"Project Manager","Lead cross-functional teams to deliver software projects on time and within budget. PMP certification preferred. Strong communication and stakeholder management skills required.","$5000/mo","full-time","BuildWave","project-management","United Arab Emirates","https://buildwave.ae/careers","Dubai","active"
"iOS Developer","Develop and maintain native iOS applications using Swift and SwiftUI. Collaborate with backend engineers and designers to ship high-quality features to App Store.","$4800/mo","remote","AppNest","ios-development","Jordan","https://appnest.jo/careers/ios","Remote","active"
"SEO Specialist","Optimize website content and technical structure to improve organic search rankings. Perform keyword research competitor analysis and monthly reporting. Google Analytics and Search Console proficiency required.","$2200/mo","contract","RankUp Agency","search-engine-optimization-seo","Egypt","https://rankup.agency/jobs/seo","Cairo","active"
"Accountant","Manage daily bookkeeping prepare financial statements and assist with audits. Experience with Xero or QuickBooks required. CPA certification is a plus.","$2600/mo","full-time","FinGroup","accounting","Kuwait","https://fingroup.kw/careers","Kuwait City","active"
"Technical Support Engineer","Provide Level 2 technical support for enterprise software clients. Troubleshoot hardware and software issues and document resolutions in the knowledge base.","$2000/mo","full-time","HelpDesk Pro","technical-support","Saudi Arabia","https://helpdeskpro.sa/jobs","Jeddah","active"
"Copywriter","Write compelling copy for websites emails ads and landing pages. Experience with A/B testing and conversion rate optimization preferred. Portfolio required.","$2000/mo","remote","AdWords MENA","copywriting","United Arab Emirates","https://adwordsmena.com/apply","Remote","active"
"Android Developer","Build and maintain Android applications using Kotlin and Jetpack Compose. Work in an agile team delivering features for a fintech super-app used by millions.","$4500/mo","full-time","FinApp","android-development","Egypt","https://finapp.eg/careers/android","Cairo","active"
"Legal Counsel","Provide legal advice on corporate commercial and employment matters. Draft and review contracts regulatory filings and compliance documents. 5+ years experience required.","$6000/mo","full-time","MENA Legal","corporate-law","United Arab Emirates","https://menalegal.ae/careers","Dubai","active"
